"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2011,7,"AA","American Airlines Inc.","ABQ","Albuquerque, NM: Albuquerque International",244.00,39.00,22.14,0.00,1.78,0.00,15.08,1.00,0.00,1816.00,1041.00,0.00,41.00,0.00,734.00,
2011,7,"AA","American Airlines Inc.","ANC","Anchorage, AK: Anchorage International",62.00,21.00,12.45,0.00,2.88,0.00,5.67,0.00,0.00,2525.00,1917.00,0.00,83.00,0.00,525.00,
2011,7,"AA","American Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson",448.00,104.00,43.97,2.87,40.91,0.00,16.26,8.00,3.00,5992.00,2528.00,216.00,2320.00,0.00,928.00,
2011,7,"AA","American Airlines Inc.","AUS","Austin, TX: Austin - Bergstrom International",703.00,131.00,65.24,4.87,20.62,0.00,40.27,5.00,0.00,7209.00,3571.00,282.00,941.00,0.00,2415.00,
2011,7,"AA","American Airlines Inc.","BDL","Hartford, CT: Bradley International",155.00,34.00,9.20,3.18,6.69,0.00,14.93,0.00,0.00,1711.00,383.00,282.00,286.00,0.00,760.00,
2011,7,"AA","American Airlines Inc.","BHM","Birmingham, AL: Birmingham Municipal",92.00,15.00,6.42,1.00,3.18,0.00,4.40,3.00,1.00,815.00,311.00,60.00,108.00,0.00,336.00,
2011,7,"AA","American Airlines Inc.","BNA","Nashville, TN: Nashville Metropolitan",322.00,59.00,33.38,0.36,13.73,0.00,11.53,2.00,0.00,2520.00,1334.00,32.00,615.00,0.00,539.00,
2011,7,"AA","American Airlines Inc.","BOS","Boston, MA: Logan International",845.00,279.00,112.80,18.02,78.24,0.00,69.94,29.00,1.00,15295.00,6119.00,1603.00,3468.00,0.00,4105.00,
2011,7,"AA","American Airlines Inc.","BUR","Burbank, CA: Burbank Bob Hope",119.00,14.00,6.89,0.00,3.29,0.00,3.82,0.00,1.00,705.00,323.00,0.00,104.00,0.00,278.00,
2011,7,"AA","American Airlines Inc.","BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",273.00,84.00,32.85,2.15,28.87,0.00,20.12,1.00,2.00,3787.00,1584.00,91.00,918.00,0.00,1194.00,
2011,7,"AA","American Airlines Inc.","CLE","Cleveland, OH: Hopkins International",92.00,42.00,16.54,0.00,20.29,0.00,5.17,0.00,1.00,1757.00,883.00,0.00,486.00,0.00,388.00,
2011,7,"AA","American Airlines Inc.","CLT","Charlotte, NC: Charlotte Douglas International",205.00,54.00,22.52,0.00,23.28,0.00,8.19,11.00,1.00,2172.00,995.00,0.00,685.00,0.00,492.00,
2011,7,"AA","American Airlines Inc.","CMH","Columbus, OH: Columbus International",150.00,32.00,17.95,0.00,6.53,0.00,7.52,1.00,1.00,1593.00,992.00,0.00,242.00,0.00,359.00,
2011,7,"AA","American Airlines Inc.","COS","Colorado Springs, CO: Peterson Field",153.00,27.00,16.32,0.00,2.07,0.00,8.60,0.00,3.00,1184.00,684.00,0.00,55.00,0.00,445.00,
2011,7,"AA","American Airlines Inc.","DAY","Dayton, OH: James M Cox/Dayton International",62.00,16.00,6.93,0.00,2.74,0.00,6.33,1.00,0.00,816.00,389.00,0.00,72.00,0.00,355.00,
2011,7,"AA","American Airlines Inc.","DCA","Washington, DC: Ronald Reagan Washington National",893.00,248.00,77.14,14.00,93.12,0.00,63.75,24.00,14.00,12710.00,3959.00,880.00,3790.00,0.00,4081.00,
2011,7,"AA","American Airlines Inc.","DEN","Denver, CO: Denver International",445.00,125.00,61.31,4.29,31.22,1.00,27.17,5.00,3.00,6650.00,3423.00,245.00,1196.00,21.00,1765.00,
2011,7,"AA","American Airlines Inc.","DFW","Dallas/Ft.Worth, TX: Dallas/Ft Worth International",13620.00,1599.00,537.95,86.79,263.13,0.00,711.12,253.00,22.00,97485.00,37996.00,5964.00,8840.00,0.00,44685.00,
2011,7,"AA","American Airlines Inc.","DTW","Detroit, MI: Detroit Metro Wayne County",245.00,55.00,26.72,0.72,15.84,0.00,11.71,2.00,1.00,2392.00,1244.00,92.00,459.00,0.00,597.00,
2011,7,"AA","American Airlines Inc.","EGE","Eagle, CO: Eagle County Regional",31.00,15.00,7.67,0.00,1.30,0.00,6.02,0.00,2.00,909.00,583.00,0.00,38.00,0.00,288.00,
2011,7,"AA","American Airlines Inc.","ELP","El Paso, TX: El Paso International",244.00,41.00,25.88,1.94,6.22,0.00,6.96,5.00,0.00,1835.00,1132.00,83.00,120.00,0.00,500.00,
2011,7,"AA","American Airlines Inc.","EWR","Newark, NJ: Newark Liberty International",421.00,131.00,45.95,4.38,59.36,0.00,21.31,17.00,5.00,8414.00,2638.00,473.00,3496.00,0.00,1807.00,
2011,7,"AA","American Airlines Inc.","FAT","Fresno, CA: Fresno Air Terminal",62.00,13.00,7.09,0.00,0.39,0.00,5.52,0.00,0.00,746.00,287.00,0.00,14.00,0.00,445.00,
2011,7,"AA","American Airlines Inc.","FLL","Fort Lauderdale, FL: Fort Lauderdale International",310.00,71.00,35.78,2.31,18.28,0.00,14.63,12.00,1.00,4567.00,2630.00,198.00,808.00,0.00,931.00,
2011,7,"AA","American Airlines Inc.","HNL","Honolulu, HI: Honolulu International",217.00,52.00,34.07,3.23,5.44,0.00,9.27,2.00,1.00,3857.00,2837.00,167.00,337.00,0.00,516.00,
2011,7,"AA","American Airlines Inc.","HSV","Huntsville, AL: Huntsville International  Carl Jones",87.00,23.00,15.38,0.00,4.62,0.00,3.00,2.00,0.00,1512.00,933.00,0.00,203.00,0.00,376.00,
2011,7,"AA","American Airlines Inc.","IAD","Washington, DC: Dulles International",307.00,88.00,29.41,2.01,39.13,0.00,17.45,9.00,0.00,4168.00,1962.00,127.00,1163.00,0.00,916.00,
2011,7,"AA","American Airlines Inc.","IAH","Houston, TX: Houston Intercontinental",273.00,59.00,34.33,2.23,13.66,0.00,8.78,3.00,0.00,2470.00,1371.00,98.00,492.00,0.00,509.00,
2011,7,"AA","American Airlines Inc.","ICT","Wichita, KS: Mid-Continent",117.00,26.00,15.76,0.00,2.16,0.00,8.08,4.00,0.00,1555.00,1099.00,0.00,68.00,0.00,388.00,
2011,7,"AA","American Airlines Inc.","IND","Indianapolis, IN: Indianapolis International",148.00,31.00,17.32,0.00,6.31,0.00,7.37,0.00,0.00,1391.00,837.00,0.00,153.00,0.00,401.00,
2011,7,"AA","American Airlines Inc.","JAC","Jackson, WY: Jacksons Hole",41.00,14.00,9.27,1.33,1.85,0.00,1.55,0.00,0.00,616.00,416.00,79.00,55.00,0.00,66.00,
2011,7,"AA","American Airlines Inc.","JAX","Jacksonville, FL: Jacksonville International",124.00,26.00,22.21,0.00,2.44,0.00,1.36,2.00,0.00,1056.00,928.00,0.00,83.00,0.00,45.00,
2011,7,"AA","American Airlines Inc.","JFK","New York, NY: Kennedy International",1288.00,288.00,98.12,14.02,115.12,0.00,60.74,40.00,10.00,18485.00,6896.00,1144.00,4933.00,0.00,5512.00,
2011,7,"AA","American Airlines Inc.","KOA","Kona, HI: Keahole",31.00,5.00,3.43,0.00,0.70,0.00,0.86,0.00,0.00,225.00,171.00,0.00,22.00,0.00,32.00,
2011,7,"AA","American Airlines Inc.","LAS","Las Vegas, NV: Mccarran International",803.00,147.00,63.17,9.49,31.46,0.00,42.89,12.00,4.00,8884.00,3713.00,954.00,1364.00,0.00,2853.00,
2011,7,"AA","American Airlines Inc.","LAX","Los Angeles, CA: Los Angeles International",2584.00,563.00,211.40,27.24,150.86,0.12,173.39,56.00,4.00,32515.00,13540.00,1970.00,5701.00,2.00,11302.00,
2011,7,"AA","American Airlines Inc.","LGA","New York, NY: LaGuardia",1424.00,307.00,89.84,17.95,115.37,0.00,83.84,80.00,17.00,18614.00,5334.00,1235.00,6769.00,0.00,5276.00,
2011,7,"AA","American Airlines Inc.","LIH","Lihue, HI: Lihue Airport",62.00,18.00,11.59,0.00,3.02,0.00,3.40,0.00,1.00,1350.00,1106.00,0.00,91.00,0.00,153.00,
2011,7,"AA","American Airlines Inc.","LIT","Little Rock, AR: Adams Field",93.00,24.00,17.44,0.00,1.84,0.00,4.72,1.00,0.00,1468.00,1134.00,0.00,48.00,0.00,286.00,
2011,7,"AA","American Airlines Inc.","MCI","Kansas City, MO: Kansas City International",363.00,72.00,35.62,5.29,5.53,0.00,25.57,10.00,0.00,3472.00,1568.00,258.00,234.00,0.00,1412.00,
2011,7,"AA","American Airlines Inc.","MCO","Orlando, FL: Orlando International",837.00,231.00,95.87,14.46,79.75,0.00,40.92,8.00,5.00,12896.00,5688.00,937.00,3487.00,0.00,2784.00,
2011,7,"AA","American Airlines Inc.","MEM","Memphis, TN: Memphis International",117.00,13.00,6.17,0.00,4.24,0.00,2.60,9.00,0.00,600.00,352.00,0.00,103.00,0.00,145.00,
2011,7,"AA","American Airlines Inc.","MFE","Mission/Mcallen/Edinburg, TX: Miller International",121.00,20.00,12.49,0.00,3.96,0.00,3.55,8.00,0.00,844.00,509.00,0.00,153.00,0.00,182.00,
2011,7,"AA","American Airlines Inc.","MIA","Miami, FL: Miami International",3946.00,845.00,272.17,79.64,238.48,0.65,254.06,77.00,11.00,53231.00,19439.00,4927.00,10315.00,13.00,18537.00,
2011,7,"AA","American Airlines Inc.","MKE","Milwaukee, WI: General Mitchell Field",93.00,12.00,8.21,0.00,0.08,0.00,3.70,1.00,0.00,729.00,522.00,0.00,4.00,0.00,203.00,
2011,7,"AA","American Airlines Inc.","MSP","Minneapolis, MN: Minneapolis-St Paul International",330.00,82.00,30.06,5.51,21.61,0.00,24.82,5.00,1.00,5270.00,2068.00,318.00,1300.00,0.00,1584.00,
2011,7,"AA","American Airlines Inc.","MSY","New Orleans, LA: Louis Armstrong International",340.00,66.00,27.17,3.96,12.15,0.00,22.72,3.00,1.00,3500.00,1218.00,214.00,360.00,0.00,1708.00,
2011,7,"AA","American Airlines Inc.","OGG","Kahului, HI: Kahului Airport",93.00,18.00,13.01,0.00,2.88,0.00,2.10,1.00,1.00,1022.00,698.00,0.00,87.00,0.00,237.00,
2011,7,"AA","American Airlines Inc.","OKC","Oklahoma City, OK: Will Rogers World",215.00,38.00,28.57,0.00,3.43,0.00,6.00,0.00,0.00,2225.00,1711.00,0.00,160.00,0.00,354.00,
2011,7,"AA","American Airlines Inc.","OMA","Omaha, NE: Eppley Airfield",148.00,26.00,15.49,0.45,1.30,0.00,8.76,3.00,1.00,1317.00,820.00,45.00,53.00,0.00,399.00,
2011,7,"AA","American Airlines Inc.","ONT","Ontario/San Bernardino, CA: La/Ontario International",124.00,27.00,16.10,0.00,2.78,0.00,8.11,0.00,1.00,1622.00,1011.00,0.00,99.00,0.00,512.00,
2011,7,"AA","American Airlines Inc.","ORD","Chicago, IL: O'Hare",4804.00,1132.00,251.70,25.60,392.33,0.00,462.38,164.00,28.00,72396.00,16069.00,1890.00,21740.00,0.00,32697.00,
2011,7,"AA","American Airlines Inc.","ORF","Norfolk, VA: Norfolk International",93.00,22.00,11.09,1.00,6.68,0.00,3.23,0.00,1.00,1270.00,674.00,93.00,328.00,0.00,175.00,
2011,7,"AA","American Airlines Inc.","PBI","West Palm Beach/Palm Beach, FL: Palm Beach International",93.00,27.00,13.27,0.96,9.07,0.00,3.70,0.00,0.00,1476.00,776.00,89.00,361.00,0.00,250.00,
