ID	Cy5	Cy3	Ratio	Sum	LogRat
YCONTROLAF	37	100	0.08	57	-3.73
YCONTROL77	38	96	0.1	54	-3.29
YCONTROL04	65	121	0.43	106	-1.21
YCONTROLAF	40	99	0.13	59	-2.89
YCONTROL77	38	95	0.1	53	-3.26
YCONTROL04	42	98	0.16	59	-2.67
YCONTROLAF	38	95	0.1	54	-3.29
YCONTROL77	44	95	0.22	60	-2.16
YCONTROL04	38	89	0.1	46	-3.39
YCONTROLAF	39	95	0.1	54	-3.29
YCONTROL77	52	122	0.24	94	-2.08
YCONTROL04	42	90	0.19	51	-2.43
YBR045C	185	419	0.41	523	-1.3
YBR049C	1180	2076	0.56	3174	-0.83
YBR053C	1820	6095	0.3	7833	-1.76
YBR069C	2073	1427	1.48	3419	0.56
YBR073W	1086	1698	0.64	2703	-0.65
YBR077C	2134	5043	0.42	7096	-1.25
YBR091C	1134	1696	0.67	2750	-0.58
YBR095C	714	1406	0.5	2040	-1
YBR099C	130	230	0.53	280	-0.92
YBR115C	1573	2604	0.6	4096	-0.73
YBR119W	618	1101	0.56	1639	-0.85
YBR123C	569	1153	0.48	1642	-1.05
YCR053W	5286	5694	0.93	10899	-0.1
YCR060W	1382	2315	0.59	3616	-0.75
YCR064C	96	194	0.42	209	-1.25
YCR083W	1039	2580	0.4	3539	-1.33
YCR087C-A	290	191	1.77	399	0.82
YCR090C	1580	2397	0.66	3895	-0.61
YCR105W	66	146	0.31	130	-1.68
Actin1	999	2190	0.45	3107	-1.15
YDL006W	850	1536	0.55	2305	-0.86
YDL022W	1856	4065	0.45	5840	-1.14
YDL026W	45	93	0.26	58	-1.94
YDL030W	407	715	0.56	1041	-0.83
YDR079W	1754	4096	0.42	5768	-1.23
YDR083W	1200	785	1.58	1904	0.66
YDR087C	1237	872	1.46	2028	0.54
YDR101C	1536	689	2.34	2144	1.23
Actin2	1129	2773	0.4	3821	-1.32
YDR109C	523	1173	0.43	1615	-1.2
YDR125C	176	345	0.48	440	-1.07
YDR129C	2383	5489	0.43	7790	-1.21
YDR133C	11780	30603	0.38	42301	-1.38
YDR149C	52	121	0.23	91	-2.12
YDR153C	808	1034	0.78	1760	-0.35
YDR157W	92	142	0.61	151	-0.72
YDR445C	49	115	0.24	82	-2.04
YDR449C	1136	490	2.5	1545	1.32
Actin3	629	2491	0.24	3038	-2.04
YDR469W	1691	3337	0.5	4946	-0.99
YDR473C	484	764	0.63	1166	-0.67
YDR477W	725	1361	0.53	2004	-0.93
YDR493W	1282	2411	0.53	3611	-0.92
YDR497C	4876	9060	0.54	13854	-0.9
YDR501W	252	379	0.66	550	-0.61
YDR517W	1328	3565	0.37	4812	-1.44
YDR521W	47	94	0.28	60	-1.85
YDR525W	65	143	0.32	127	-1.63
YER187W	108	203	0.47	229	-1.1
YER190W	4750	6705	0.71	11373	-0.5
YFL002W-B	4424	8055	0.55	12396	-0.87
YFL016C	2045	5075	0.4	7036	-1.32
YFL019C	92	239	0.31	249	-1.69
YFL023W	690	549	1.31	1157	0.39
YFL038C	6198	13504	0.46	19620	-1.13
YFL042C	385	1052	0.35	1355	-1.52
YFL046W	1552	2713	0.57	4182	-0.81
YFL062W	7326	15171	0.48	22415	-1.05
YFL066C	4523	7852	0.58	12293	-0.8
YFR002W	970	1376	0.7	2264	-0.5
YGL245W	4720	7946	0.59	12584	-0.75
YGL249W	131	324	0.35	373	-1.53
YGL253W	11575	15616	0.74	27109	-0.43
YGR006W	320	566	0.55	803	-0.86
YGR010W	815	2162	0.37	2895	-1.44
YGR014W	813	1250	0.65	1981	-0.63
YGR028W	1608	4377	0.36	5902	-1.46
YGR032W	2866	8038	0.35	10821	-1.5
YGR036C	954	1541	0.62	2411	-0.7
YGR050C	397	916	0.42	1230	-1.26
YGR054W	1489	1663	0.9	3070	-0.15
YGR058W	368	639	0.57	924	-0.82
YHR005C-A	14132	21050	0.67	35099	-0.57
YHR009C	1579	2816	0.56	4312	-0.84
YHR013C	946	1304	0.73	2168	-0.46
YHR028C	1457	4702	0.31	6077	-1.71
YHR032W	452	516	0.89	886	-0.16
YHR036W	277	449	0.6	645	-0.73
YHR050W	1021	1979	0.51	2919	-0.97
YHR054C	1023	1457	0.7	2398	-0.51
YHR058C	621	1099	0.56	1638	-0.84
YHR073W	1112	2108	0.52	3137	-0.94
YHR077C	1827	2071	0.89	3815	-0.17
YHR080C	1272	2413	0.52	3602	-0.94
Actin4	2507	6249	0.4	8670	-1.33
YIL161W	787	1233	0.64	1937	-0.65
YIL165C	684	1916	0.35	2517	-1.52
YIR004W	51	103	0.31	72	-1.69
YIR008C	661	1072	0.61	1651	-0.71
YIR012W	1155	864	1.37	1937	0.46
YIR027C	183	2507	0.06	2608	-4.04
YIR031C	119	2013	0.04	2050	-4.53
YIR035C	1038	1887	0.55	2843	-0.87
YJL007C	56	124	0.29	98	-1.79
YJL011C	1315	854	1.59	2086	0.67
YJL015C	70	124	0.47	112	-1.08
YJR095W	42	59	0.58	19	-0.78
YJR099W	1268	3571	0.35	4756	-1.51
YJR103W	917	2522	0.36	3355	-1.49
YJR119C	307	412	0.75	637	-0.42
YJR123W	134	145	1.05	193	0.07
YJR127C	578	1223	0.46	1716	-1.11
YJR142W	1239	3255	0.38	4411	-1.41
YJR146W	58	134	0.28	110	-1.84
YJR150C	262	1258	0.19	1437	-2.41
YKL004W	37	59	0.3	13	-1.74
YKL007W	3819	7578	0.5	11315	-0.99
YKL011C	37	60	0.25	15	-2
YKR086W	367	526	0.7	811	-0.52
YKR090W	301	490	0.6	708	-0.73
YKR094C	34230	15977	2.15	50123	1.1
YLL004W	743	1069	0.69	1729	-0.53
YLL008W	1579	453	3.81	1949	1.93
YLL012W	419	510	0.83	846	-0.27
YLL027W	893	1822	0.48	2632	-1.05
YLL031C	2084	3736	0.56	5736	-0.85
YLL035W	750	608	1.29	1269	0.36
YLL051C	2540	4655	0.54	7107	-0.88
Actin5	440	1749	0.24	2105	-2.07
YLL059C	90	228	0.31	235	-1.68
YLR288C	606	1066	0.56	1589	-0.83
YLR292C	2677	5390	0.49	7984	-1.01
YLR296W	103	256	0.33	276	-1.58
YLR312C	170	713	0.2	800	-2.29
YLR315W	318	808	0.37	1044	-1.42
YLR319C	531	1014	0.51	1462	-0.96
YLR335W	1113	1521	0.73	2551	-0.45
YLR339C	67	125	0.42	109	-1.27
YLR343W	147	210	0.7	273	-0.52
YLR359W	8944	9000	1	17860	-0.01
YLR363C	985	2075	0.47	2975	-1.09
YLR367W	37756	11691	3.24	49362	1.7
YMR054W	1085	2032	0.53	3030	-0.92
YMR058W	10351	12959	0.8	23224	-0.32
YMR062C	6605	10513	0.63	17033	-0.67
YMR077C	981	2557	0.38	3454	-1.4
YMR081C	122	221	0.51	259	-0.96
YMR085W	1156	2401	0.48	3473	-1.07
YMR100W	715	1238	0.57	1870	-0.8
YMR104C	474	1296	0.35	1687	-1.5
YMR108W	3709	3134	1.19	6760	0.25
YMR123W	1698	2385	0.71	3999	-0.49
