Display_Name	Portion_Default	Portion_Display_Name	Calories	Saturated_Fats
Sour cream dip	1	cup 	133.65	7.36898
Ice cream, regular	1	cup	267.33	9.0307
Ice cream, rich	1	cup	368.52	15.2884
Soft serve ice cream	1	cup	347.73	11.7467
Ice cream bar, chocolate covered	1	bar (bar = 3 fl oz)	169.12	9.5872
Ice cream bar, chocolate covered	2	Klondike Krispy bar	277.84	15.7504
Ice cream sandwich	1	sandwich	143.37	3.2332
Light ice cream	1	cup	216.15	3.3929
Light soft serve ice cream	1	cup	220.5	2.8525
Light ice cream sandwich	1	sandwich	129.6	1.368
Light ice cream bar	1	bar (bar = 3 fl oz)	153.44	7.728
Light fudgesicle	1	sicle (sicle = 2.5 fl oz)	121.91	2.0367
Sherbet	1	cup	277.92	2.2388
Sherbet	2	push up 	95.04	0.7656
Low fat, low sugar ice milk 	1	cup	152.64	0.8928
Cheese (cheddar, Swiss)	2	cup shredded	113.8475	5.95793
Cheese (cheddar, Swiss)	2	cubic inch	68.51	3.5853
Feta or goat cheese	1	cup crumbled	99	5.60625
Feta or goat cheese	2	wedge (wedge=1.3 oz)	100.32	5.681
Mozzarella cheese (part skim)	1	slice (slice = 1 oz)	85.617	3.59194
Low fat cheddar or Swiss	2	cup, shredded	48	0.892
Low fat cheddar or Swiss	2	cubic inch	27	0.496
Cottage cheese, creamed	1	cup	108.15	2.9925
Ricotta cheese	1	cup	95.94	4.06515
Lowfat cottage cheese	1	cup	81.36	0.7345
Cream cheese (regular)	1	Tablespoon	50.605	3.18565
Cream cheese (regular)	2	Tablespoon, whipped	34.9	2.197
Cream cheese (regular)	2	individual container	98.9415	6.2285
Low fat cream cheese	1	Tablespoon	34.65	1.6635
Low fat cream cheese	2	Tablespoon, whipped	23.1	1.109
American cheese (processed)	1	slice (slice = 3/4 oz)	70.56	3.2697
American cheese (processed)	2	cup shredded	94.92	4.39853
American cheese (processed)	2	cubic inch	58.8	2.72475
Fat-free American cheese	1	slice (slice = 3/4 oz)	31.08	0.105
Fat-free American cheese	2	cup shredded	41.81	0.14125
Fat-free American cheese	2	cubic inch	23.976	0.081
Cheese spread or dip 	2	slice Velveeta	100.24333	4.60774
Cheese spread or dip 	1	Tablespoons	176.9	8.1313
Cream cheese dip	1	Tablespoons	106.2	5.67
Cheese sauce	1	cup	109.35	3.65107
Cheese sauce, low fat	1	cup	79.5825	1.69493
Alfredo sauce	1	cup	249.075	15.65527
Fried cheese sticks	1	pieces or 4" sticks	502.92	16.3548
Grilled steak (eat lean & fat)	1	medium steak	516.12	11.9544
Grilled steak (eat lean & fat)	2	large steak	688.16	15.9392
Grilled steak (eat lean & fat)	2	small steak	387.09	8.9658
