gene	WtA	WtB	WtC	2hrA	2hrB	2hrC	4hrA	4hrB	4hrC	6hrA	6hrB	6hrC	8hrA	8hrB	8hrC	12hrA	12hrB	12hrC	12hrD	12hrE	12hrF	16hrA	16hrB	16hrC	24hrA	24hrB	24hrC	24hrD	24hrE	24hrF	36hrA	36hrB	36hrC	48hrA	48hrB	48hrC	60HrB	60hrA	60hrC	72hrA	72hrC
X18S	0.5161	0.5312	0.5381	0.5998	0.7297	0.6651	0.5111	0.3895	0.8281	0.7592	0.8264	0.7028	0.5565	0.5593	0.6716	0.7628	0.7206	0.6928	2.344	1.919	2.293	0.6558	0.6922	0.6877	0.5385	0.5733	0.7026	1.752	2.068	2.226	2.108	2.369	2.13	2.037	2.103	2.569	1.802	1.775	1.765	2.56	2.079
Actb	0.883	0.6362	0.5448	0.9248	0.8025	0.7794	0.8419	0.5052	0.9057	1.116	0.9206	0.8787	0.6871	0.8909	0.6915	0.8148	0.7982	0.5677	1.688	1.319	1.53	0.638	0.6026	0.5208	0.6619	0.8253	0.7003	1.094	1.35	1.67	1.556	1.54	1.666	1.928	1.812	2.248	1.988	1.778	2.14	2.694	2.313
Atp5b	1.015	0.5903	0.7529	0.8435	0.8836	0.8879	0.6893	0.5073	0.8822	0.9862	0.9996	0.9255	0.8839	1.105	0.7212	1.202	1.293	0.7352	2.198	1.463	1.453	0.9025	0.9537	0.7562	0.7176	0.878	0.7057	1.376	1.435	1.439	1.586	1.384	1.158	1.471	1.388	1.181	1.446	1.109	1.285	1.221	1.185
B2m	0.7947	0.6248	0.5561	0.8228	0.8889	0.9116	0.9016	0.4239	0.6331	0.872	0.7065	0.5579	0.5115	0.6161	0.3676	0.6159	0.7457	0.5366	1.076	0.4924	0.7976	0.9225	1.183	0.958	0.8023	1.056	0.7374	0.7316	1.292	1.436	2.048	1.589	1.782	3.082	2.118	3.421	2.723	2.794	3.083	3.758	3.709
Cdx1	0.0337	0.016	0.0276	0.5554	0.4767	0.4279	0.8258	0.5339	1.077	1.07	1.071	1.172	0.7301	0.7832	0.621	1.194	1.056	0.9614	5.793	4.747	4.233	1.766	1.678	1.387	1.299	1.351	1.424	5.201	7.123	4.335	5.8	3.561	2.441	5.33	6.813	4.279	1.426	1.612	1.786	4.213	3.328
Cdx2	0.2338	0.0617	0.0366	0.146	0.1344	0.1328	0.5706	0.2227	0.4607	0.8364	0.7167	0.5733	0.4047	0.5539	0.3801	0.4794	0.4105	0.4204	10.94	7.763	7.166	0.5554	0.4659	0.5952	2.061	1.834	2.598	7.672	8.758	9.654	9.474	7.119	8.127	10.23	13.9	8.787	1.638	2.41	2.596	5.45	4.568
Gapdh	0.9541	0.6957	0.8279	0.8861	0.7748	0.8383	0.9618	0.5893	0.9901	1.183	1.065	1.127	0.8438	0.983	0.7256	1.161	1.009	0.8301	1.496	1.103	1.311	1.158	1.07	0.9493	1.037	1.033	0.9913	1.067	1.265	1.282	1.253	1.306	1.123	1.216	1.125	1.035	1.073	1.193	1.093	1.374	1.089
Hoxa1	0.0471	0.0151	0.0369	0.2518	0.2516	0.2372	1.032	0.6857	1.052	1.067	1.133	1.128	1.238	1.474	0.9824	1.948	1.983	1.637	3.013	2.42	1.968	2.066	2.148	1.662	2.315	2.889	2.336	3.368	3.616	3.575	4.904	4.388	3.384	3.457	3.363	2.643	2.692	3.775	2.328	2.427	2.303
Hoxa2	0.0876	0.0279	0.0279	0.13	0.1165	0.0481	0.2156	0.1559	0.3404	0.4449	0.3522	0.4113	0.5063	0.4876	0.2815	0.5395	0.4154	0.394	6.061	4.173	4.519	0.6111	0.7087	0.6318	1.489	2.066	1.699	9.068	9.42	8.058	14.03	12.5	9.667	16.86	11.67	8.071	14.92	10.91	18.15	19.37	11.77
Hoxa3	0.0437	0.0102	0.0266	0.1205	0.139	0.1286	0.2907	0.1578	0.4831	0.4207	0.4515	0.6953	0.6029	0.7398	0.4061	1.088	1.092	1.059	5.934	4.415	5.588	2.152	2.263	1.782	3.685	4.817	3.534	6.774	8.119	12.61	8.563	6.146	9.226	5.809	4.641	5.818	8.326	7.364	9.97	8.648	7.449
