country	year	top_1pct_income_share
United States	1913	17.96
United States	1914	18.16
United States	1915	17.58
United States	1916	18.57
United States	1917	17.6
United States	1918	15.88
United States	1919	15.87
United States	1920	14.46
United States	1921	15.47
United States	1922	16.29
United States	1923	14.99
United States	1924	16.32
United States	1925	17.6
United States	1926	18.01
United States	1927	18.68
United States	1928	19.6
United States	1929	18.42
United States	1930	16.42
United States	1931	15.27
United States	1932	15.48
United States	1933	15.77
United States	1934	15.87
United States	1935	15.63
United States	1936	17.64
United States	1937	16.45
United States	1938	14.73
United States	1939	15.39
United States	1940	15.73
United States	1941	15.01
United States	1942	12.91
United States	1943	11.48
United States	1944	10.54
United States	1945	11.07
United States	1946	11.76
United States	1947	10.95
United States	1948	11.27
United States	1949	10.95
United States	1950	11.36
United States	1951	10.52
United States	1952	9.76
United States	1953	9.08
United States	1954	9.39
United States	1955	9.18
United States	1956	9.09
United States	1957	8.98
United States	1958	8.83
United States	1959	8.75
United States	1960	8.36
United States	1961	8.34
United States	1962	8.27
United States	1963	8.16
United States	1964	8.02
United States	1965	8.07
United States	1966	8.37
United States	1967	8.43
United States	1968	8.35
United States	1969	8.02
United States	1970	7.8
United States	1971	7.79
United States	1972	7.75
United States	1973	7.74
United States	1974	8.12
United States	1975	8.01
United States	1976	7.89
United States	1977	7.9
United States	1978	7.95
United States	1979	8.03
United States	1980	8.18
United States	1981	8.03
United States	1982	8.39
United States	1983	8.59
United States	1984	8.89
United States	1985	9.09
United States	1986	9.13
United States	1987	10.75
United States	1988	13.17
United States	1989	12.61
United States	1990	12.98
United States	1991	12.17
United States	1992	13.48
United States	1993	12.82
United States	1994	12.85
United States	1995	13.53
United States	1996	14.11
United States	1997	14.77
United States	1998	15.29
United States	1999	15.87
United States	2000	16.49
United States	2001	15.37
United States	2002	14.64
United States	2003	14.87
United States	2004	16.08
United States	2005	17.42
United States	2006	17.98
United States	2007	18.29
United States	2008	17.67
