Lab	Spotted 2009	Spotted 2010	Affymetrix 2008	Affymetrix 2009	Affymetrix 2010	Agilent 2008	Agilent 2009	Agilent 2010	Illumina  2008	Illumina 2009	Illumina 2010
A	0	0	0	0	0	0	0	0	0	0	0
B	0	0	0	0	5	0	0	0	0	0	6
C	0	0	35	25	0	0	0	0	0	0	0
D	12	0	0	72	24	8	24	0	0	0	5
E	0	0	34	18	37	0	0	0	0	0	0
F	0	0	0	0	0	0	0	0	0	0	0
G	0	0	0	36	0	24	0	0	0	6	2
H	0	0	0	28	6	0	16	0	0	0	0
I	0	0	0	2	0	0	0	0	0	0	0
J	0	0	2	0	9	0	0	8	0	0	0
K	0	0	3	3	62	24	10	86	0	0	6
L	0	0	0	13	14	0	0	0	0	0	0
M	0	0	0	18	3	0	0	4	0	0	0
N	105	44	25	35	26	0	0	8	0	0	0
O	0	0	21	9	0	0	0	0	0	0	0
P	0	0	4	1	0	0	12	0	0	0	2
Q	0	0	108	99	0	0	0	0	0	6	0
R	0	0	37	0	0	0	0	0	0	0	0
S	0	0	12	8	45	40	40	36	6	0	14
T	0	0	0	0	0	0	0	0	0	0	0
U	16	0	0	35	6	0	0	0	0	0	0
V	0	0	80	0	0	0	44	20	0	0	0
W	196	53	0	0	6	16	4	4	8	6	11
X	0	0	6	20	0	0	0	0	3	27	0
Y	0	0	8	0	0	0	0	0	23	32	0
Z	0	0	0	0	0	8	0	0	6	0	26
