chrom	start	end	gene	strand	left_gene	left_gene_relationship	left_gene_dist	right_gene	right_gene_relationship	right_gene_dist
chr1	1806	2169	YAL068C	-		first	1806	YAL067W-A	diverging	310
chr1	2479	2707	YAL067W-A	+	YAL068C	diverging	310	YAL067C	converging	4528
chr1	7235	9017	YAL067C	-	YAL067W-A	converging	4528	YAL064W-B	diverging	3029
chr1	12046	12427	YAL064W-B	+	YAL067C	diverging	3029	YAL064C-A	converging	936
chr1	13363	13744	YAL064C-A	-	YAL064W-B	converging	936	YAL064W	diverging	7781
chr1	21525	21852	YAL064W	+	YAL064C-A	diverging	7781	YAL063C-A	converging	544
chr1	22396	22687	YAL063C-A	-	YAL064W	converging	544	YAL063C	sequential	1313
chr1	24000	27969	YAL063C	-	YAL063C-A	sequential	1313	YAL062W	diverging	3598
chr1	31567	32941	YAL062W	+	YAL063C	diverging	3598	YAL061W	sequential	507
chr1	33448	34702	YAL061W	+	YAL062W	sequential	507	YAL060W	sequential	453
chr1	35155	36304	YAL060W	+	YAL061W	sequential	453	YAL059W	sequential	205
chr1	36509	37148	YAL059W	+	YAL060W	sequential	205	YAL058W	sequential	316
chr1	37464	38973	YAL058W	+	YAL059W	sequential	316	YAL056W	sequential	286
chr1	39259	41803	YAL056W	+	YAL058W	sequential	286	YAL055W	sequential	373
chr1	42176	42719	YAL055W	+	YAL056W	sequential	373	YAL054C	converging	161
chr1	42880	45022	YAL054C	-	YAL055W	converging	161	YAL053W	diverging	876
chr1	45898	48250	YAL053W	+	YAL054C	diverging	876	YAL051W	sequential	313
chr1	48563	51752	YAL051W	+	YAL053W	sequential	313	YAL049C	converging	104
chr1	51856	52597	YAL049C	-	YAL051W	converging	104	YAL048C	sequential	205
chr1	52802	54791	YAL048C	-	YAL049C	sequential	205	YAL047C	sequential	199
chr1	54990	56859	YAL047C	-	YAL048C	sequential	199	YAL046C	sequential	171
chr1	57030	57387	YAL046C	-	YAL047C	sequential	171	YAL044W-A	diverging	132
chr1	57519	57852	YAL044W-A	+	YAL046C	diverging	132	YAL044C	converging	99
chr1	57951	58464	YAL044C	-	YAL044W-A	converging	99	YAL043C	sequential	232
chr1	58696	61054	YAL043C	-	YAL044C	sequential	232	YAL042W	diverging	263
chr1	61317	62565	YAL042W	+	YAL043C	diverging	263	YAL041W	sequential	276
chr1	62841	65406	YAL041W	+	YAL042W	sequential	276	YAL040C	converging	373
chr1	65779	67522	YAL040C	-	YAL041W	converging	373	YAL039C	sequential	1195
chr1	68717	69527	YAL039C	-	YAL040C	sequential	1195	YAL038W	diverging	2260
chr1	71787	73290	YAL038W	+	YAL039C	diverging	2260	YAL037C-A	converging	137
chr1	73427	73520	YAL037C-A	-	YAL038W	converging	137	YAL037W	diverging	501
chr1	74021	74825	YAL037W	+	YAL037C-A	diverging	501	YAL036C	converging	219
chr1	75044	76154	YAL036C	-	YAL037W	converging	219	YAL035W	diverging	274
chr1	76428	79437	YAL035W	+	YAL036C	diverging	274	YAL034W-A	sequential	282
chr1	79719	80589	YAL034W-A	+	YAL035W	sequential	282	YAL034C	converging	122
