space	start	end	width	names	peak	strand	feature	start_position	end_position	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest
1	7388002	7388324	323	MACS_peak_10 ENSMUSG00000054338	MACS_peak_10	+	ENSMUSG00000054338	7488080	7488381	upstream	-100078	99756	NearestStart
1	42771055	42771453	399	MACS_peak_100 ENSMUSG00000045515	MACS_peak_100	+	ENSMUSG00000045515	42753991	42757052	downstream	17064	14003	NearestStart
1	43502357	43502970	614	MACS_peak_102 ENSMUSG00000066877	MACS_peak_102	+	ENSMUSG00000066877	43502596	43627360	overlapStart	-239	239	NearestStart
1	43502998	43503326	329	MACS_peak_103 ENSMUSG00000066877	MACS_peak_103	+	ENSMUSG00000066877	43502596	43627360	inside	402	402	NearestStart
1	43751684	43751928	245	MACS_peak_104 ENSMUSG00000026051	MACS_peak_104	+	ENSMUSG00000026051	43787693	43799409	upstream	-36009	35765	NearestStart
1	43755477	43755680	204	MACS_peak_105 ENSMUSG00000026051	MACS_peak_105	+	ENSMUSG00000026051	43787693	43799409	upstream	-32216	32013	NearestStart
1	43787326	43787828	503	MACS_peak_106 ENSMUSG00000026051	MACS_peak_106	+	ENSMUSG00000026051	43787693	43799409	overlapStart	-367	135	NearestStart
1	43990350	43990693	344	MACS_peak_109 ENSMUSG00000041763	MACS_peak_109	+	ENSMUSG00000041763	43990847	44059844	upstream	-497	154	NearestStart
1	9554595	9554893	299	MACS_peak_11 ENSMUSG00000081441	MACS_peak_11	+	ENSMUSG00000081441	9564629	9565730	upstream	-10034	9736	NearestStart
1	44176573	44176912	340	MACS_peak_112 ENSMUSG00000041684	MACS_peak_112	+	ENSMUSG00000041684	44176007	44201601	inside	566	566	NearestStart
1	44204433	44205033	601	MACS_peak_113 ENSMUSG00000026048	MACS_peak_113	+	ENSMUSG00000026048	44204692	44238105	overlapStart	-259	259	NearestStart
1	44608630	44609435	806	MACS_peak_114 ENSMUSG00000056870	MACS_peak_114	+	ENSMUSG00000056870	44608356	44853671	inside	274	274	NearestStart
1	46431022	46431158	137	MACS_peak_115 ENSMUSG00000070199	MACS_peak_115	+	ENSMUSG00000070199	46431042	46431160	overlapStart	-20	2	NearestStart
1	50983786	50984238	453	MACS_peak_118 ENSMUSG00000026109	MACS_peak_118	+	ENSMUSG00000026109	50966806	51244114	inside	16980	16980	NearestStart
1	50984242	50984598	357	MACS_peak_119 ENSMUSG00000026109	MACS_peak_119	+	ENSMUSG00000026109	50966806	51244114	inside	17436	17436	NearestStart
1	52170461	52170868	408	MACS_peak_123 ENSMUSG00000026104	MACS_peak_123	+	ENSMUSG00000026104	52176282	52218704	upstream	-5821	5414	NearestStart
1	52176069	52176493	425	MACS_peak_124 ENSMUSG00000026104	MACS_peak_124	+	ENSMUSG00000026104	52176282	52218704	overlapStart	-213	211	NearestStart
1	52687364	52687593	230	MACS_peak_126 ENSMUSG00000043015	MACS_peak_126	+	ENSMUSG00000043015	52687591	52707480	overlapStart	-227	2	NearestStart
1	54307338	54307656	319	MACS_peak_132 ENSMUSG00000025983	MACS_peak_132	+	ENSMUSG00000025983	54307527	54425571	overlapStart	-189	129	NearestStart
1	55187821	55188282	462	MACS_peak_137 ENSMUSG00000025979	MACS_peak_137	+	ENSMUSG00000025979	55188136	55209917	overlapStart	-315	146	NearestStart
1	55462448	55463019	572	MACS_peak_138 ENSMUSG00000038349	MACS_peak_138	+	ENSMUSG00000038349	55463232	55808646	upstream	-784	213	NearestStart
1	57281641	57281881	241	MACS_peak_142 ENSMUSG00000038323	MACS_peak_142	+	ENSMUSG00000038323	57434526	57440462	upstream	-152885	152645	NearestStart
