name	ucsc_name	chroms_contigs	size
Human	hg18	49	3107677273
Chimp	panTro2	52	3350447512
Gorilla	gorGor1	609861	2323645895
Orangutan	ponAbe2	55	3446771396
Rhesus	rheMac2	22	2864106071
Marmoset	calJac1	49724	3029401840
Tarsier	tarSyr1	656709	3179905132
Bushbaby	otoGar1	120882	3420058864
Mouse lemur	micMur1	185042	2902270736
TreeShrew	tupBel1	150851	3660774957
Mouse	mm9	35	2725765481
Rat	rn4	45	2834127293
Kangaroo rat	dipOrd1	210053	2158502098
Guinea Pig	cavPor3	3144	2723219641
Squirrel	speTri1	160889	3488768592
Rabbit	oryCun1	215471	3464410039
Pika	ochPri2	187558	3445784354
Shrew	sorAra1	262057	2936119008
Hedgehog	eriEur1	379802	3367787358
Cat	felCat3	217790	4045535322
Dog	canFam2	41	2531673953
Horse	equCab2	34	2484532062
Megabat	pteVam1	96944	1996076410
Microbat	myoLuc1	193323	2850051559
Dolphin	turTru1	116467	2519048486
Cow	bosTau4	11900	2917974530
Alpaca	vicPac1	298413	2962253608
Armadillo	dasNov2	292141	4813823562
Sloth	choHof1	481259	2458927620
Tenrec	echTel1	325491	3823724728
Elephant	loxAfr2	225378	4170414852
Rock hyrax	proCap1	295006	2985258999
Opossum	monDom4	10	3605614649
Platypus	ornAna1	201523	1996811212
Chicken	galGal3	57	1100480441
Zebra finch	taeGut1	70	1233186341
Lizard	anoCar1	7233	1781602899
X. tropicalis	xenTro2	19759	1513925492
Zebrafish	danRer5	5036	1440582308
Tetraodon	tetNig1	27	402240326
Fugu	fr2	2	400525790
Stickleback	gasAcu1	23	463354448
Medaka	oryLat2	7189	869000216
Lamprey	petMar1	108241	1027258967
